id,nombre,direccion,long,lat
116,116 - HOSPITAL ALEMÁN,Beruti & Ecuador,-58.4025864239259,-34.5921712763202
262,349 - Plaza Saenz Peña,Andres Lamas&Remedios Escalada de San Martin,-58.4674768852983,-34.6097605592715
364,381 - Matienzo Y Arce,"1798 Matienzo, Benjamin, Teniente",-58.4344681995915,-34.5686927854069
216,059 - Coronel Diaz,Guemes 3330 & Coronel Diaz,-58.411490383491,-34.5899683825807
359,250 - Fleni,2292 Montañeses,-58.4504777802768,-34.5556014089115
182,182 - RAVIGNANI Y GUATEMALA,"2185 Ravignani, Emilio, Dr. & Guatemala",-58.4352448992915,-34.5780478946813
83,083 - Paraná,1590 Lavalle,-58.389369346005,-34.6032697939405
42,042 - Diagonal Norte,"Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha",-58.3800268616491,-34.6046082700605
23,023 - Suipacha,"Suipacha & Viamonte, 709",-58.3798321215593,-34.600139769095
76,076 - Ayacucho,"Ayacucho &Peron, Juan Domingo, Tte. General",-58.3950516151538,-34.6074092606059
168,168 - Estados Unidos,Estados Unidos & Lima,-58.3812234121407,-34.6186228839669
95,095 - ESMERALDA,ESMERALDA 516,-58.3781638652962,-34.6021129222324
46,046 - Chile,"Calle Perú, 718",-58.3743709065845,-34.6163023644433
263,270 - PLAZA DEL ANGEL GRIS,Calcena & Avellaneda Av.,-58.4575545550579,-34.6220038872984
69,069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",-58.4046063371569,-34.5961011560411
155,155 - Parque José Evaristo Uriburu,300 Almafuerte Av. & Los Patos,-58.412558393615,-34.6409632407722
38,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.3828365261875,-34.5970503839888
8,008 - Congreso,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",-58.3893329884138,-34.6094227344644
26,026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",-58.3638677528182,-34.600752860888
138,138 - Hospital Britanico,153 Perdriel,-58.3876691036142,-34.6353610345817
183,183 - VIRREY CEVALLOS,Mexico 1652,-58.3899694601005,-34.6157004745814
252,331 - CALIFORNIA,California y General Hornos,-58.3743322250401,-34.6471228683411
277,292 - PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,-58.4361132320095,-34.5635386599873
111,111 - MACACHA GUEMES,Machaca Guemes 350,-58.3646813208631,-34.605488664949
153,153 - JUAN MANUEL DE BLANES,"383 Blanes, Juan Manuel",-58.3620656908362,-34.6307780548633
213,136 - Acevedo,Acevedo 220 y padilla,-58.4426837676874,-34.5996594507231
206,159 - Fitz Roy & Gorriti,Fitz Roy & Gorriti,-58.4373374369099,-34.584950141684
14,014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",-58.4263849214833,-34.5774240238567
134,134 - DON BOSCO,Maza y don Bosco,-58.4167773315577,-34.6122311916337
194,194 - PERÓN Y ACUÑA DE FIGUEROA,3997 TTE. GENERAL JUAN DOMINGO PERON,-58.4224614612369,-34.6060764961487
207,123 - Armenia,Armenia 2315 & Charcas,-58.4208687442152,-34.5851382266202
376,324 - Las Victorias,"4083 Vallese, Felipe",-58.487078834199,-34.6267788509477
181,181 - BILLINGHURST Y MANSILLA,"1520 Billinghurst & Mansilla, Lucio Norberto, General",-58.4120046244514,-34.5926653415415
158,158 - VILLARROEL,1321 Villarroel & Humboldt CABA,-58.445068518532,-34.5927352811926
171,171 - Pasteur,519 Pasteur,-58.399752283848,-34.6032820435065
29,029 - Parque Centenario,Av. Patricias Argentinas & Estivao,-58.4335557423123,-34.6079420843387
222,160 - Godoy Cruz y Libertador,Godoy Cruz  3279 y Libertador,-58.4206256441755,-34.5725829417623
433,273 - Plazoleta Colombia,1619 Brandsen,-58.373722131969,-34.6376986560563
70,070 - ARAOZ,1413 Araoz & Gorriti CABA,-58.4260577169383,-34.5926865732537
229,243 - PLAZOLETA CELEDONIO FLORES,Cordoba 6599,-58.4515290107423,-34.5815759952173
120,120 - HOSPITAL RAMOS MEJIA,3084 Agrelo,-58.4092850875564,-34.6175100214518
13,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.4059972958341,-34.6100908682761
166,166 - Cementerio de Recoleta,2000 Vicente Lopez,-58.3932473089703,-34.5891901539779
227,188 - Aranguren,"137 Aranguren, Juan F., Dr. & Portugal",-58.4327844278272,-34.6104567454706
184,184 - Pedro Echague,Pedro Echague 1878 & Combate De Los Pozos,-58.3913387244582,-34.6306143082771
223,178 - José Marmol,803 José Marmol,-58.4248511861528,-34.6234010796576
392,297 - TRONADOR Y GARCÍA DEL RÍO,Tronador y Garcia del Rio,-58.4853812429738,-34.5545802142783
50,050 - Hospital Rivadavia,2516 Pereyra Lucena,-58.4010767000307,-34.5837350914111
25,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-58.4161153745592,-34.5894272476256
131,131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",-58.3990127178167,-34.5984049359032
30,030 - Peña,Peña & Azcuenaga,-58.3973665942558,-34.5908215710522
5,005 - Plaza Italia,Av. Sarmiento 2601,-58.420951914897,-34.5805498216604
75,075 - Plaza Primero de Mayo,238 Pichincha,-58.3989841159144,-34.6122985529236
281,350 - Plaza Irlanda,Av. Gaona 2200,-58.4583145279611,-34.6137786959411
318,285 - ESPINOSA,1785 Espinosa,-58.4573164151576,-34.6039364764095
291,244 - UADE,Lima 750,-58.3816233191895,-34.6172481506435
144,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060916410511,-34.6018750804349
268,399 - GARCIA DEL RIO,GARCIA DEL RIO & PINTO,-58.4765208370492,-34.5500141539404
214,142 - Armenia y Gorriti,Armenia 1525 y Gorriti,-58.4289721244116,-34.5905413100845
66,066 - Billinghurst,3508 Carcova,-58.4138688164949,-34.5945479753404
220,097 - Avelino Diaz,Avelino Diaz&Doblas,-58.4275713849998,-34.6351293340117
73,073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,-58.3718195016088,-34.6306829051355
156,156 - Plaza Alemania,2939 Cavia,-58.4074667254456,-34.5775896201568
308,251 - Solar de la Abadía,Maure 1819,-58.436750288151,-34.5676327500899
257,264 - Plaza Marcos Sastre,Miller & Monroe,-58.4812361851259,-34.570824604418
212,129 - Velasco,J.Ramirez de Velasco 285,-58.4348734428931,-34.6002755030642
200,200 - AUSTRIA Y FRENCH,2080 Austria,-58.403865450383,-34.5883285824775
193,193 - ARENALES Y AGUERO,Arenales y Aguero,-58.4061623653093,-34.5908630290218
104,104 - Federico Lacroze,Av. Guzman 1100 & Av. Corrientes,-58.4552112092487,-34.5876171147853
190,190 - JUNCAL,"Juncal & Salguero, Jeronimo",-58.4111109325264,-34.5850765729451
162,162 - LARREA Y BARTOLOMÉ MITRE,80 Larrea,-58.4019211160656,-34.6089858629996
449,352 - San Jose de Flores,Avenida Rivadavia y Fray Cayetano,-58.4632508461667,-34.6290840208419
186,186 - MANZANA 66,2875 Moreno,-58.4064388398186,-34.6136365470013
121,121 - YATAY,925 Yatay& Humahuaca,-58.4285074809885,-34.601173754739
175,147 - Constitución,Avenida Juan de Garay 1050,-58.3807033489816,-34.6268523743372
255,374 - Puan,Yerbal 1290,-58.4485461758828,-34.6220929335813
112,112 - 9 de Julio,Bernardo Irigoyen 320,-58.3803802298427,-34.6120760386945
80,080 - DOBLAS,608 Doblas & Valle,-58.4303750265069,-34.6244360762016
94,094 - GÚZMAN,Av Guzman 129 & Leiva,-58.4496510028765,-34.5915112308137
416,257 - Plaza Francisco Ramirez,"2700 Pedraza, Manuela",-58.4691325492012,-34.5532612641182
284,229 - RIGLOS,1019 Riglos,-58.4350546710935,-34.6310192034927
269,260 - SAN MIGUEL DE GARICOITS,"Delgado & Loreto, Virrey",-58.4577982444269,-34.5773288677031
9,009 - Parque Las Heras,"2300 Diaz, Cnel. Av. & French",-58.4077381929972,-34.5854432977906
247,282 - Tronador,Triunvirato Av. & Tronador,-58.4664936579452,-34.5838956745866
12,012 - Plaza Vicente Lopez,Parana & Juncal,-58.3888034467677,-34.5927101559138
197,197 - Quintino Bocayuva,Quintino Bocayuva y Don Bosco,-58.4233949534181,-34.6134498597511
65,065 - Julián Álvarez,3822 Guemes,-58.4157848455043,-34.5873127010488
